Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Noor Ahmad,"2,00,00,000","10,00,00,000",Capped
2,Ravichandaran Ashwin,"2,00,00,000","9,75,00,000",Capped
3,Devon Conway,"2,00,00,000","6,25,00,000",Capped
4,Syed Khaleel Ahmed,"2,00,00,000","4,80,00,000",Capped
5,Rachin Ravindra,"1,50,00,000","4,00,00,000",Capped
6,Anshul Kamboj,"30,00,000","3,40,00,000",Uncapped
7,Rahul Tripathi,"75,00,000","3,40,00,000",Capped
8,Sam Curran,"2,00,00,000","2,40,00,000",Capped
9,Gurjapneet Singh,"30,00,000","2,20,00,000",Uncapped
10,Nathan Ellis,"1,25,00,000","2,00,00,000",Capped
11,Deepak Hooda,"75,00,000","1,70,00,000",Capped
12,Jamie Overton,"1,50,00,000","1,50,00,000",Capped
13,Vijay Shankar,"30,00,000","1,20,00,000",Uncapped
14,Vansh Bedi,"30,00,000","55,00,000",Uncapped
15,Andre Siddarth,"30,00,000","30,00,000",Uncapped
16,Shreyas Gopal,"30,00,000","30,00,000",Uncapped
17,Ramakrishna Ghosh,"30,00,000","30,00,000",Uncapped
18,Kamlesh Nagarkoti,"30,00,000","30,00,000",Uncapped
19,Mukesh Choudhary,"30,00,000","30,00,000",Uncapped
20,Shaik Rasheed,"30,00,000","30,00,000",Uncapped
