Country,Deaths / million,Deaths,Cases
,"5,428","9,990","352,060"
,"5,118","16,404","404,093"
,"5,071","49,114","2,237,300"
,"4,806","18,781","1,352,684"
,"4,686","9,914","1,360,964"
,"4,519","17,151","1,864,383"
,"4,317","2,654","251,280"
,"4,100","43,761","4,823,694"
,"4,040","12,283","650,822"
,"3,973","7,475","977,765"
,"3,884","21,262","1,885,409"
,"3,823","39,813","5,747,684"
,"3,693",126,"25,292"
,"3,597","68,949","3,567,404"
,"3,543","1,210,067","103,436,829"
,"3,500","9,862","1,418,458"
,"3,404","232,112","25,021,035"
,"3,338","702,116","37,511,921"
,"3,313","197,542","26,826,486"
,"3,298","64,497","5,408,705"
,"3,159","1,104","230,354"
,"3,151","120,967","6,767,469"
,"3,047","8,779","453,040"
,"3,002",113,"20,550"
,"2,949","34,339","4,892,342"
,"2,940","19,880","735,759"
,"2,934","4,390","191,496"
,"2,879","130,730","10,110,358"
,"2,822","1,266,431","186,326,528"
,"2,791","29,075","5,670,415"
,"2,774","403,923","24,771,517"
,"2,758","142,727","6,394,655"
,"2,708",292,"44,224"
,"2,696","28,283","2,769,633"
,"2,677","109,925","5,541,489"
,"2,658","18,057","2,583,470"
,"2,653","1,021","203,235"
,"2,615","168,123","39,008,711"
,"2,603","334,816","7,622,487"
,"2,547","121,852","13,980,340"
,"2,547",165,"18,860"
,"2,536",419,"52,287"
,"2,485","22,534","6,083,011"
,"2,427","29,423","1,153,361"
,"2,318",650,"79,451"
,"2,293",410,"30,231"
,"2,268","7,692","1,042,389"
,"2,262",89,"21,612"
,"2,256","1,406","82,505"
,"2,220","2,998","613,546"
,"2,209","1,167","123,582"
,"2,182",92,"11,051"
,"2,135",849,"39,127"
,"2,100",593,"108,836"
,"2,080","174,979","38,437,756"
,"2,058","11,466","1,499,712"
,"2,035",238,"19,693"
,"2,022","36,055","1,078,897"
,"1,994",159,"48,015"
,"1,989","8,756","1,044,987"
,"1,939","9,909","1,751,759"
,"1,905","10,947","1,239,904"
,"1,869","3,212","274,279"
,"1,853","22,387","1,212,156"
,"1,844","9,374","1,235,825"
,"1,832","5,938","1,252,713"
,"1,798","13,466","2,876,106"
,"1,787",8,"1,403"
,"1,720",67,"17,181"
,"1,708",688,"71,430"
,"1,696","10,012","3,444,841"
,"1,669",64,"7,643"
,"1,645",305,"45,883"
,"1,644","102,595","4,072,857"
,"1,640","146,837","7,627,863"
,"1,611","14,170","4,474,075"
,"1,591","1,497","709,396"
,"1,591",46,"12,324"
,"1,584","1,302","74,492"
,"1,572",146,"9,106"
,"1,555",161,"66,391"
,"1,530","1,000","396,674"
,"1,525",132,"25,389"
,"1,430",41,"11,922"
,"1,424","55,282","4,819,055"
,"1,422","4,110","172,556"
,"1,395","12,707","4,841,558"
,"1,384",413,"98,041"
,"1,378",116,"38,008"
,"1,370",172,"51,899"
,"1,283","22,986","8,640,582"
,"1,275","3,608","337,196"
,"1,275","3,621","157,346"
,"1,254","14,122","1,746,997"
,"1,214",124,"9,674"
,"1,170","1,427","75,356"
,"1,164","101,419","17,004,712"
,"1,148","2,801","330,696"
,"1,131","20,203","1,250,394"
,"1,106",74,"16,047"
,"1,093",314,"80,203"
,"1,076","37,351","5,325,669"
,"1,075","5,708","703,228"
,"1,062","11,114","472,911"
,"1,056",921,"494,595"
,"1,051",67,"35,326"
,"1,050","5,732","1,530,642"
,"1,005","10,353","836,492"
,"1,001","1,536","696,614"
,984,46,"6,607"
,978,"4,628","399,449"
,963,"25,236","11,861,161"
,962,885,"69,047"
,951,"19,072","1,504,370"
,891,"6,437","507,269"
,889,41,"14,985"
,874,"4,489","2,661,984"
,872,40,"6,833"
,844,12,"3,904"
,841,"1,074","329,686"
,802,417,"64,474"
,782,9,"3,760"
,775,"7,118","994,045"
,771,"8,530","1,113,662"
,740,"16,907","672,812"
,739,"17,672","9,970,937"
,702,34,"8,359"
,693,"35,934","34,571,873"
,673,"4,230","201,967"
,630,"2,136","1,011,489"
,612,187,"42,027"
,602,316,"186,694"
,597,"74,694","33,803,572"
,586,"66,864","4,173,631"
,581,"162,059","6,829,949"
,579,65,"31,765"
,575,"25,375","2,465,545"
,562,10,"6,372"
,559,"2,570","667,290"
,518,28,"34,658"
,516,37,"31,472"
,489,186,"210,731"
,484,"34,741","4,806,280"
,456,5,"5,507"
,436,"16,305","1,279,115"
,433,"43,206","11,624,000"
,424,17,"16,297"
,404,"12,031","1,003,450"
,399,182,"349,972"
,390,"4,384","661,103"
,374,21,"11,971"
,374,"533,658","45,044,521"
,362,"19,494","643,238"
,358,"2,024","3,006,155"
,357,"5,740","266,399"
,353,80,"6,771"
,347,2,"3,426"
,310,709,"36,138"
,299,"9,646","841,469"
,254,199,"25,954"
,238,690,"514,524"
,229,"2,349","1,067,030"
,220,"24,830","516,023"
,207,"5,856","552,695"
,204,997,"63,879"
,202,"4,078","349,892"
,197,"7,998","235,214"
,193,161,"9,109"
,183,24,"5,085"
,177,"3,056","139,325"
,174,"29,499","2,051,516"
,174,121,"3,514"
,166,189,"15,690"
,151,"6,881","272,189"
,147,"1,024","88,953"
,144,31,"17,057"
,141,372,"12,627"
,140,"3,163","57,423"
,135,2,"7,375"
,130,"2,686","89,168"
,126,307,"49,056"
,125,"30,656","1,580,631"
,123,13,"16,992"
,111,"1,972","89,318"
,107,"1,468","133,266"
,104,"5,689","344,113"
,102,"5,046","63,993"
,101,183,"17,130"
,100,138,"23,460"
,99,1,"2,943"
,88,671,"219,060"
,85,"122,389","99,381,428"
,84,1,"5,393"
,84,177,"9,614"
,76,"3,632","172,161"
,76,"1,361","27,334"
,74,860,"34,751"
,71,"1,974","125,279"
,68,"2,252","233,876"
,65,670,"46,864"
,64,389,"25,234"
,60,"7,574","501,258"
,56,"2,159","11,945"
,54,294,"8,090"
,54,"1,937","107,487"
,46,"1,428","68,598"
,44,14,"12,019"
,44,"1,463","172,331"
,36,245,"16,197"
,33,468,"38,582"
,32,743,"33,180"
,31,290,"39,537"
,30,103,"10,189"
,29,"1,016","175,082"
,27,835,"88,457"
,26,21,"62,697"
,22,113,"15,443"
,17,400,"22,165"
,15,126,"7,985"
,14,"1,474","100,990"
,14,"3,155","267,190"
,13,147,"18,855"
,13,846,"43,365"
,12,315,"9,528"
,12,125,"17,786"
,11,163,"28,036"
,10,194,"7,702"
,1,15,"54,569"
,0,0,26
,0,0,"1,092"
,0,0,"1,923"
,0,0,"2,166"
,0,0,4
,0,0,80
,0,0,0
,0,0,0
,"5,428","9,990","352,060"
,"5,118","16,404","404,093"
,"5,071","49,114","2,237,300"
,"4,806","18,781","1,352,684"
,"4,686","9,914","1,360,964"
,"4,519","17,151","1,864,383"
,"4,317","2,654","251,280"
,"4,100","43,761","4,823,694"
,"4,040","12,283","650,822"
,"3,973","7,475","977,765"
,"3,884","21,262","1,885,409"
,"3,823","39,813","5,747,684"
,"3,693",126,"25,292"
,"3,597","68,949","3,567,404"
,"3,543","1,210,067","103,436,829"
,"3,500","9,862","1,418,458"
,"3,404","232,112","25,021,035"
,"3,338","702,116","37,511,921"
,"3,313","197,542","26,826,486"
,"3,298","64,497","5,408,705"
,"3,159","1,104","230,354"
,"3,151","120,967","6,767,469"
,"3,047","8,779","453,040"
,"3,002",113,"20,550"
,"2,949","34,339","4,892,342"
,"2,940","19,880","735,759"
,"2,934","4,390","191,496"
,"2,879","130,730","10,110,358"
,"2,822","1,266,431","186,326,528"
,"2,791","29,075","5,670,415"
,"2,774","403,923","24,771,517"
,"2,758","142,727","6,394,655"
,"2,708",292,"44,224"
,"2,696","28,283","2,769,633"
,"2,677","109,925","5,541,489"
,"2,658","18,057","2,583,470"
,"2,653","1,021","203,235"
,"2,615","168,123","39,008,711"
,"2,603","334,816","7,622,487"
,"2,547","121,852","13,980,340"
,"2,547",165,"18,860"
,"2,536",419,"52,287"
,"2,485","22,534","6,083,011"
,"2,427","29,423","1,153,361"
,"2,318",650,"79,451"
,"2,293",410,"30,231"
,"2,268","7,692","1,042,389"
,"2,262",89,"21,612"
,"2,256","1,406","82,505"
,"2,220","2,998","613,546"
,"2,209","1,167","123,582"
,"2,182",92,"11,051"
,"2,135",849,"39,127"
,"2,100",593,"108,836"
,"2,080","174,979","38,437,756"
,"2,058","11,466","1,499,712"
,"2,035",238,"19,693"
,"2,022","36,055","1,078,897"
,"1,994",159,"48,015"
,"1,989","8,756","1,044,987"
,"1,939","9,909","1,751,759"
,"1,905","10,947","1,239,904"
,"1,869","3,212","274,279"
,"1,853","22,387","1,212,156"
,"1,844","9,374","1,235,825"
,"1,832","5,938","1,252,713"
,"1,798","13,466","2,876,106"
,"1,787",8,"1,403"
,"1,720",67,"17,181"
,"1,708",688,"71,430"
,"1,696","10,012","3,444,841"
,"1,669",64,"7,643"
,"1,645",305,"45,883"
,"1,644","102,595","4,072,857"
,"1,640","146,837","7,627,863"
,"1,611","14,170","4,474,075"
,"1,591","1,497","709,396"
,"1,591",46,"12,324"
,"1,584","1,302","74,492"
,"1,572",146,"9,106"
,"1,555",161,"66,391"
,"1,530","1,000","396,674"
,"1,525",132,"25,389"
,"1,430",41,"11,922"
,"1,424","55,282","4,819,055"
,"1,422","4,110","172,556"
,"1,395","12,707","4,841,558"
,"1,384",413,"98,041"
,"1,378",116,"38,008"
,"1,370",172,"51,899"
,"1,283","22,986","8,640,582"
,"1,275","3,608","337,196"
,"1,275","3,621","157,346"
,"1,254","14,122","1,746,997"
,"1,214",124,"9,674"
,"1,170","1,427","75,356"
,"1,164","101,419","17,004,712"
,"1,148","2,801","330,696"
,"1,131","20,203","1,250,394"
,"1,106",74,"16,047"
,"1,093",314,"80,203"
,"1,076","37,351","5,325,669"
,"1,075","5,708","703,228"
,"1,062","11,114","472,911"
,"1,056",921,"494,595"
,"1,051",67,"35,326"
,"1,050","5,732","1,530,642"
,"1,005","10,353","836,492"
,"1,001","1,536","696,614"
,984,46,"6,607"
,978,"4,628","399,449"
,963,"25,236","11,861,161"
,962,885,"69,047"
,951,"19,072","1,504,370"
,891,"6,437","507,269"
,889,41,"14,985"
,874,"4,489","2,661,984"
,872,40,"6,833"
,844,12,"3,904"
,841,"1,074","329,686"
,802,417,"64,474"
,782,9,"3,760"
,775,"7,118","994,045"
,771,"8,530","1,113,662"
,740,"16,907","672,812"
,739,"17,672","9,970,937"
,702,34,"8,359"
,693,"35,934","34,571,873"
,673,"4,230","201,967"
,630,"2,136","1,011,489"
,612,187,"42,027"
,602,316,"186,694"
