Titles,Speed,Rattings,Conectivity,Warranties,Value,Doscount
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹29,990",25% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹37,990",37% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹32,990",28% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹35,990",36% off
"LG 8 kg 5 Star, Inverter Direct Drive Technology, Wi-Fi Enabled, 6 Motion DD, Steam Fully Automatic Fr...","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","₹34,990",30% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹36,990",32% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹21,990",30% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹28,990",34% off
MOTOROLA 10.5 kg Smart Wi-Fi Enabled Enabled Steam Wash Inverter Technology Fully Automatic Front Load...,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹25,490",60% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","₹35,990",23% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹34,490",33% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹26,990",30% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹23,990",58% off
"SAMSUNG 12 kg 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam,Digital Inverter Fully Automatic ...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹43,990",16% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹37,990",22% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹31,990",26% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹35,490",33% off
"Godrej 7 kg FabriSafe Drum, AI Tech With Steam Wash Fully Automatic Front Load Washing Machine with In...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹25,390",45% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹38,900",35% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...",1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹28,990",20% off
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹29,990",32% off
BOSCH 7 kg with Steam Fully Automatic Front Load Washing Machine with In-built Heater Silver,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹30,990",38% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹34,990",28% off
"LG 9 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam Fully Automatic Front Load Washin...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,"₹35,990",32% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹29,990",60% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹37,990",30% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹32,990",58% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor","₹35,990",32% off
"LG 8 kg 5 Star, Inverter Direct Drive Technology, Wi-Fi Enabled, 6 Motion DD, Steam Fully Automatic Fr...",1000 RPM Max Speed,1000 RPM Max Speed,1000 RPM Max Speed,1000 RPM Max Speed,"₹34,990",45% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹36,990",25% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹21,990",37% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,4 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor with 10 Years on Spares Support from IFB,"₹28,990",28% off
MOTOROLA 10.5 kg Smart Wi-Fi Enabled Enabled Steam Wash Inverter Technology Fully Automatic Front Load...,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,1200 rpm Max Speed,"₹25,490",36% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹35,990",30% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹34,490",32% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion Direct Drive, Touch Panel and 12...",2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,"₹26,990",30% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,1400 rpm Max Speed,"₹23,990",34% off
"SAMSUNG 12 kg 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam,Digital Inverter Fully Automatic ...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹43,990",60% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹37,990",23% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,2 Years Comprehensive and 10 Years on Motor From Motorola,"₹31,990",33% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹35,490",30% off
"Godrej 7 kg FabriSafe Drum, AI Tech With Steam Wash Fully Automatic Front Load Washing Machine with In...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹25,390",58% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater Grey,With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹38,900",16% off
