Product title,Product size,Rattings,Discounts allowed,Value
UkdiMukdi COTTED Wood Portable Laptop Table,"Finish Color - BLACK, Pre Assembled",(5),52% off,₹479
"duroflex Livein Essential Orthopedic, Pressure Relievin...",L x W: 75 inch x 35 inch,"(18,707)",49% off,"₹6,319"
MITHILA Foldable multipurpose Table Wood Portable Lapto...,"Finish Color - BLACK, Pre Assembled","(37,610)",88% off,₹289
"HF HARSH FASHION Multipurpose Foldable with Cup Holder,...","Finish Color - Pink, Pre Assembled","(36,005)",75% off,₹328
Portronics My Buddy D Wood Portable Laptop Table,"Finish Color - Black, DIY(Do-It-Yourself)","(23,010)",51% off,"₹1,453"
ZENVEXYO Plastic Collapsible Shoe Stand,"Maroon, 6 Shelves, DIY(Do-It-Yourself)","(1,036)",57% off,₹427
AMMINO Walker,"Finish Color - COACH WOOD, Pre Assembled",(469),50% off,₹790
sarun sales Foldable multipurpose Table Wood Portable L...,"Brown, 4 Shelves, DIY(Do-It-Yourself)","(3,466)",82% off,₹359
dbeautify 4 sleeves print PVC pipe shoe rack Plastic Co...,Pure,"(14,675)",76% off,₹369
DewDROP Bean Bag Filler,"Finish Color - Brown, Door Type- Hinged, Pre-assembled",(490),75% off,₹480
"PALAK 6 Plastic Modular Drawer System for Home, Office,...","Maroon, 4 Shelves, DIY(Do-It-Yourself)","(4,363)",67% off,₹880
"SANAMSTORE Metal Collapsible Shoe Stand (Maroon , 4Shel...","Finish Color - Plain Pink, DIY(Do-It-Yourself)",(579),69% off,₹663
Flipkart Perfect Homes Studio Metal Open Book Shelf,"Black, 4 Shelves, DIY(Do-It-Yourself)","(30,982)",57% off,₹642
dbeautify 4 Black rack PVC pipe Plastic Collapsible Sho...,"Finish Color - Blue, Pre-assembled","(12,878)",76% off,₹352
parth 24/26/32/40/42/43 Inches Ultra Slim LCD LED TVs W...,L x W: 75 inch x 30 inch,"(6,866)",72% off,₹249
