Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Jos  Buttler,"2,00,00,000","15,75,00,000",Capped,
2,Mohammad Siraj,"2,00,00,000","12,25,00,000",Capped,
3,Kagiso Rabada,"2,00,00,000","10,75,00,000",Capped,
4,Prasidh Krishna,"2,00,00,000","9,50,00,000",Capped,
5,Washington Sundar,"2,00,00,000","3,20,00,000",Capped,
6,Sherfane Rutherford,"1,50,00,000","2,60,00,000",Capped,
7,Gerald Coetzee,"1,25,00,000","2,40,00,000",Capped,
8,Glenn Phillips,"2,00,00,000","2,00,00,000",Capped,
9,R. Sai Kishore,"75,00,000","2,00,00,000",Capped,
10,Mahipal Lomror,"50,00,000","1,70,00,000",Uncapped,
11,Gurnoor Singh Brar,"30,00,000","1,30,00,000",Uncapped,
12,Mohd. Arshad Khan,"30,00,000","1,30,00,000",Uncapped,
13,Karim Janat,"75,00,000","75,00,000",Capped,
14,Jayant Yadav,"75,00,000","75,00,000",Capped,
15,Ishant Sharma,"75,00,000","75,00,000",Capped,
16,Kumar Kushagra,"30,00,000","65,00,000",Uncapped,
17,Kulwant Khejroliya,"30,00,000","30,00,000",Uncapped,
18,Manav Suthar,"30,00,000","30,00,000",Uncapped,
19,Anuj Rawat,"30,00,000","30,00,000",Uncapped,
20,Nishant Sindhu,"30,00,000","30,00,000",Uncapped,
