Product name,Product description,Prices
"OnePlus 12 (Glacial White, 256 GB)",12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,"₹55,980"
"Apple iPhone 16 Pro Max (White Titanium, 256 GB)","256 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","₹1,37,900"
"realme NARZO 70X 5G (Forest Green, 128 GB)","8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP Rear Camera5000 mAh BatteryDimensity 6100 Plus, Octa Core Processor1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹13,999"
"POCO X6 Pro 5G (Yellow, 256 GB)",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity D8300 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹20,999"
"vivo Y300 5G (Emerald Green, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display50MP + 2MP | 32MP Front Camera5000 mAh Battery4 Gen 2 Processor1 Year Warranty on Handset and 6 Months on Inbox Accessories,"₹23,999"
"vivo Y300 5G (Titanium Silver, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display50MP + 2MP | 32MP Front Camera5000 mAh Battery4 Gen 2 Processor1 Year Warranty on Handset and 6 Months on Inbox Accessories,"₹23,999"
"realme P2 Pro 5G (Eagle Grey, 512 GB)",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5200 mAh Battery7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹27,999"
"POCO C55 (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹7,999"
"vivo Y300 5G (Phantom Purple, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display50MP + 2MP | 32MP Front Camera5000 mAh Battery4 Gen 2 Processor1 Year Warranty on Handset and 6 Months on Inbox Accessories,"₹23,999"
itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB5.08 cm (2 inch) QVGA Display0.8MP + 0MP1200 mAh BatterySC6531E Processor13 months Manufacturer Warranty,₹949
itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB5.08 cm (2 inch) QVGA Display0.8MP + 0MP1200 mAh BatterySC6531E Processor13 Months Manufacturer Warranty,₹949
"LAVA Blaze Pro 5G with Dual Sim|50MP Rear Camera|5000 mAh Battery|Expandable Upto 1TB (Starry Night, 1...",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,"₹10,499"
"realme 13+ 5G (Victory Gold, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"₹26,999"
"Nokia 106 4G Keypad Mobile, Long-Lasting Battery, MicroSD Card Slot",32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP | 0MP Front Camera1450 mAh BatteryUnisoc T107 ProcessorONE YEAR WARRANTY,"₹2,999"
Kechaoda K112,32 MB RAM | 64 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) QVGA Display0.3MP + 0MP | 0MP Front Camera3600 mAh BatteryNo Processorno warranty,"₹1,490"
"vivo V40 5G (Ganges Blue, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹36,999"
"vivo V40 5G (Ganges Blue, 512 GB)",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹41,999"
"vivo V40 5G (Lotus Purple, 256 GB)",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"₹36,999"
