Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Rishabh Pant,"2,00,00,000","27,00,00,000",Capped,
2,Avesh Khan,"2,00,00,000","9,75,00,000",Capped,
3,Akash Deep,"1,00,00,000","8,00,00,000",Capped,
4,David Miller,"1,50,00,000","7,50,00,000",Capped,
5,Abdul Samad,"30,00,000","4,20,00,000",Uncapped,
6,Mitchell Marsh,"2,00,00,000","3,40,00,000",Capped,
7,Shahbaz Ahamad,"1,00,00,000","2,40,00,000",Capped,
8,Aiden Markram,"2,00,00,000","2,00,00,000",Capped,
9,Matthew Breetzke,"75,00,000","75,00,000",Capped,
10,Shamar Joseph,"75,00,000","75,00,000",Capped,
11,M. Siddharth,"30,00,000","75,00,000",Uncapped,
12,Arshin Kulkarni,"30,00,000","30,00,000",Uncapped,
13,Rajvardhan Hangargekar,"30,00,000","30,00,000",Uncapped,
14,Yuvraj Chaudhary,"30,00,000","30,00,000",Uncapped,
15,Prince Yadav,"30,00,000","30,00,000",Uncapped,
16,Akash Singh,"30,00,000","30,00,000",Uncapped,
17,Digvesh Singh,"30,00,000","30,00,000",Uncapped,
18,Himmat Singh,"30,00,000","30,00,000",Uncapped,
19,Aryan Juyal,"30,00,000","30,00,000",Uncapped,
