Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Trent Boult,"2,00,00,000","12,50,00,000",Capped,
2,Deepak Chahar,"2,00,00,000","9,25,00,000",Capped,
3,Will Jacks,"2,00,00,000","5,25,00,000",Capped,
4,Naman Dhir,"30,00,000","5,25,00,000",Uncapped,
5,Allah  Ghazanfar,"75,00,000","4,80,00,000",Capped,
6,Mitchell Santner,"2,00,00,000","2,00,00,000",Capped,
7,Ryan Rickelton,"1,00,00,000","1,00,00,000",Capped,
8,Lizaad Williams,"75,00,000","75,00,000",Capped,
9,Reece Topley,"75,00,000","75,00,000",Capped,
10,Robin Minz,"30,00,000","65,00,000",Uncapped,
11,Karn Sharma,"50,00,000","50,00,000",Uncapped,
12,Vignesh Puthur,"30,00,000","30,00,000",Uncapped,
13,Arjun  Tendulkar,"30,00,000","30,00,000",Uncapped,
14,Bevan John Jacobs,"30,00,000","30,00,000",Uncapped,
15,Venkata Satyanarayana Penmetsa,"30,00,000","30,00,000",Uncapped,
16,Raj Angad Bawa,"30,00,000","30,00,000",Uncapped,
17,Shrijith Krishnan,"30,00,000","30,00,000",Uncapped,
18,Ashwani Kumar,"30,00,000","30,00,000",Uncapped,
