Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Jofra Archer,"2,00,00,000","12,50,00,000",Capped,
2,Tushar Deshpande,"1,00,00,000","6,50,00,000",Capped,
3,Wanindu Hasaranga,"2,00,00,000","5,25,00,000",Capped,
4,Maheesh Theekshana,"2,00,00,000","4,40,00,000",Capped,
5,Nitish Rana,"1,50,00,000","4,20,00,000",Capped,
6,Fazalhaq Farooqi,"2,00,00,000","2,00,00,000",Capped,
7,Kwena Maphaka,"75,00,000","1,50,00,000",Capped,
8,Akash Madhwal,"30,00,000","1,20,00,000",Uncapped,
9,Vaibhav Suryavanshi,"30,00,000","1,10,00,000",Uncapped,
10,Shubham Dubey,"30,00,000","80,00,000",Uncapped,
11,Yudhvir Charak,"30,00,000","35,00,000",Uncapped,
12,Ashok Sharma,"30,00,000","30,00,000",Uncapped,
13,Kunal Rathore,"30,00,000","30,00,000",Uncapped,
14,Kumar Kartikeya Singh,"30,00,000","30,00,000",Uncapped,
