Titles,Location,Address,Description,Prices
3 Bedroom Apartment / Flat,Mombasa Island,"Silos Road Mkomani, Mombasa Island, Mombasa","Located at the prestigious English Point Marina in Mombasa, this luxurious 3-bedroom",KSh 55 000 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa","Modern Executive 2 Bedroom Apartment for sale in nyali mombasa.  Swimming pool, Children's",KSh 5 950 000
2 Bedroom Apartment / Flat,Nyali,"Kambi road, Nyali, Mombasa","The project consists of 2 Bedroom modern apartments,designed to offer you space and",KSh 5 950 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa","Modern Executive 2 Bedroom Apartment for sale in nyali.  A walking distance to the Beach,",KSh 5 950 000
3 Bedroom Apartment / Flat,Nyali,"Greenwood Dr Mombasa, Nyali, Mombasa",3 Bedroom modern Executive Apartment for sale in nyali along Green wood drive.  AMENITIES,KSh 8 500 000
3 Bedroom Apartment / Flat,Nyali,"Greenwood Dr Mombasa, Nyali, Mombasa","3 Bedroom modern Executive Apartment for sale in nyali mombasa. 
Swimming pool ,",KSh 8 500 000
3 Bedroom Apartment / Flat,Nyali,"Beach Rd Mombasa, Nyali, Mombasa","Modern Executive 3 Bedroom Apartment for sale in nyali.   AMENITIES INCLUDES; DSQ, Swimming",KSh 7 750 000
3 Bedroom Apartment / Flat,Nyali,"Beach Rd Mombasa, Nyali, Mombasa",Modern Executive 3 Bedroom Apartment for sale in nyali mombasa.  A walking distance to,KSh 7 750 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa","Willow Heights 2 Bedroom Apartment for sale in nyali. 
Children's playing area, swimming",KSh 5 950 000
3 Bedroom Apartment / Flat,Nyali,"Mount Kenya Rd Mombasa, Nyali, Mombasa",Beach frontage 3 Bedroom Apartment for sale in nyali mombasa.  AMENITIES INCLUDES; Large,KSh 22 500 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa","Modern Executive 2 Bedroom Apartment for sale in nyali, A walking distance to the Beach,",KSh 5 950 000
Vacant Land / Plot,Diani,"Diani, Diani, Mombasa","5  and half acre residential plot in a prime location of Diani
Walking distance to the",KSh 32 000 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa",Modern Executive 2 bedroom apartment for sale in nyali A walking distance to the Beach and,KSh 5 950 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa",Two Bedroom apartment for sale in nyali mombasa.  Generous kitchen fully fitted with,KSh 5 950 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa",Two Bedroom apartment for sale in nyali mombasa.  Generous kitchen fully fitted with,KSh 5 950 000
3 Bedroom Apartment / Flat,Nyali,"Greenwood Dr Mombasa, Nyali, Mombasa",Modern Executive 3 Bedroom Apartment for sale in nyali along Green wood drive Nyali.,KSh 8 500 000
2 Bedroom Apartment / Flat,Nyali,"Kambi Rd Mombasa, Nyali, Mombasa",Modern Executive 2 Bedroom Apartment for sale in nyali A walking distance to the Beach and,KSh 5 950 000
3 Bedroom Apartment / Flat,Nyali,"3rd Ave Mombasa, Nyali, Mombasa","3 Bedroom modern Executive sea view Apartment for sale in nyali. 
  Swimming pool , Large",KSh 9 250 000
3 Bedroom House,Diani,"Diani, Diani, Mombasa","Elegantly done 3 bedrooms house on half acre in Diani 
In a secure and strategic",KSh 35 000 000
3 Bedroom Apartment / Flat,Nyali,"Greenwood Dr Mombasa, Nyali, Mombasa",3 Bedroom Apartment for sale in nyali Green wood Drive.  Amenities includes Generous,KSh 8 500 000
Vacant Land / Plot,Nyali,"Block 9 Nyali Rd, Nyali, Mombasa",Vacant prime prime commercial vacant and on sale ideal for shopping mall godown estate,KSh 175 000 000
