Titles,Addresses,Locations,Descriptions,ERF sizes,Prices
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Omolo Agar Road, Kisumu CBD, Kisumu",Kisumu CBD,"A prime 6 bedroom (plot ) property for sale within Kisumu CBD.
Located in the prime and",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Omolo Agar Road, Kisumu CBD, Kisumu",Kisumu CBD,"A prime 6 bedroom (plot ) property for sale within Kisumu CBD.
Located in the prime and",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Mamboleo, Kisumu",Mamboleo,This is a prime freehold land located in a quiet area of mamboleo approximately 1km from,1 acres,KSh 4 950 000
Vacant Land / Plot,"Omolo Agar road, Kisumu CBD, Kisumu",Kisumu CBD,"A prime (plot property for sale within Kisumu CBD near The Central Police station
Located",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Omolo Agar road, Kisumu CBD, Kisumu",Kisumu CBD,"A prime (plot property for sale within Kisumu CBD near The Central Police station
Located",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Kisian, Kisumu",Kisian,"3 acre freehold land with title. Its approximately 1.2km from Kisian-Bondo highway,2.4km",3 acres,KSh 6 900 000
Vacant Land / Plot,"Omolo Agar road, Kisumu CBD, Kisumu",Kisumu CBD,"0.36 ACRE PIECE OF LAND FOR SALE 
Located in the prime and rapidly developing commercial",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Kisumu, Kisumu CBD, Kisumu",Kisumu CBD,"A prime (plot property for sale within Kisumu CBD.
Located in the prime and rapidly",0.36 acres,KSh 120 000 000
Vacant Land / Plot,"Mamboleo Market Kisumu, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
3 Bedroom Apartment / Flat,"WQ2G+M8Q Manyatta, Manyatta, Kisumu",Manyatta,Block of 8 three bedroomed apartments for sale in Manayatta. The property is located on the,9.09 ha,KSh 21 000 000
Vacant Land / Plot,"Mamboleo, Kisumu",Mamboleo,"Located in a cool,serene area of mamboleo approximately 1km from the Mamboleo-Miwani",3 acres,KSh 2 900 000
Vacant Land / Plot,"Kisian, Kisumu",Kisian,"3 acre freehold land with title. Its approximately 1.2km from Kisian-Bondo highway,2.4km",0.12 m²,KSh 6 900 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,-The Residential plots of (¼)Acre for sale which are 15 minutes drive from Kisumu City,0.12 acres,KSh 870 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Mamboleo Market Kisumu, Kisumu CBD, Kisumu",Kisumu CBD,-The Residential plots of (¼)Acre for sale which are 15 minutes drive from Kisumu City,0.12 acres,KSh 870 000
Vacant Land / Plot,"Kisumu County KE, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.75 acres,KSh 470 000
Vacant Land / Plot,"PX97+59 Awach, Kisumu CBD, Kisumu",Kisumu CBD,"Available for quick sale is this attractive residential development land located at Katito,",0.12 acres,KSh 650 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.12 acres,KSh 470 000
Vacant Land / Plot,"Kisumu Kisumu County, Mamboleo, Kisumu",Mamboleo,"-Ready to build plots at Kibos along the Mamboleo-Miwani Road, Just 15 minute's drive from",0.36 acres,KSh 470 000
