Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped,
1,Josh Hazlewood,"2,00,00,000","12,50,00,000",Capped,
2,Phil Salt,"2,00,00,000","11,50,00,000",Capped,
3,Jitesh Sharma,"1,00,00,000","11,00,00,000",Capped,
4,Bhuvneshwar Kumar,"2,00,00,000","10,75,00,000",Capped,
5,Liam Livingstone,"2,00,00,000","8,75,00,000",Capped,
6,Rasikh Dar,"30,00,000","6,00,00,000",Uncapped,
7,Krunal Pandya,"2,00,00,000","5,75,00,000",Capped,
8,Tim David,"2,00,00,000","3,00,00,000",Capped,
9,Jacob Bethell,"1,25,00,000","2,60,00,000",Capped,
10,Suyash Sharma,"30,00,000","2,60,00,000",Uncapped,
11,Devdutt Padikkal,"2,00,00,000","2,00,00,000",Capped,
12,Nuwan Thushara,"75,00,000","1,60,00,000",Capped,
13,Romario Shepherd,"1,50,00,000","1,50,00,000",Capped,
14,Lungisani Ngidi,"1,00,00,000","1,00,00,000",Capped,
15,Swapnil Singh,"30,00,000","50,00,000",Uncapped,
16,Mohit Rathee,"30,00,000","30,00,000",Uncapped,
17,Abhinandan Singh,"30,00,000","30,00,000",Uncapped,
18,Swastik Chhikara,"30,00,000","30,00,000",Uncapped,
19,Manoj Bhandage,"30,00,000","30,00,000",Uncapped,
