Book title,Authors name,Book review,Discount,Value
Dune Messiah  - Dune Messiah,"English, Paperback, Herbert Frank",(64),38% off,₹370
Dune,"English, Paperback, Herbert Frank","(1,183)",41% off,₹293
The Hidden Hindu,"English, Paperback, Gupta Akshat","(4,048)",29% off,₹567
The Hidden Hindu Boxset,"English, Paperback, Gupta Akshat","(1,051)",22% off,₹78
Animal Farm,"English, Paperback, Orwell George","(6,794)",78% off,₹293
Hijos de Dune / Children of Dune,"Spanish, Paperback, Herbert Frank","(1,303)",5% off,"₹1,705"
Atlas of Tolkien Deluxe Edition,"English, Hardcover, Day David",(263),36% off,₹250
The Trial,"English, Paperback, Kafka Franz","(15,667)",22% off,₹399
The Hitchhiker's Guide to the Galaxy  - A Trilogy of Fi...,"English, Paperback, Adams Douglas",(56),50% off,₹99
1984,"English, Paperback, Orwell George","(4,691)",15% off,₹253
Samay Ka Saral Aur Sanshipt Itihas (Hindi Edition of A ...,"Hindi, Paperback, Hawking Stephen W",(794),35% off,"₹1,350"
"The Expanse Box Set Books 1-3 (Leviathan Wakes, Caliban...","English, Book, Corey James S. A.",(131),25% off,₹297
The Time Machine,"English, Paperback, Wells H. G.",(4),17% off,"₹1,099"
Brave New World,"English, Hardcover, Huxley Aldous",(743),3% off,₹198
Frankenstein,"English, Paperback, Shelley Mary","(1,183)",27% off,"₹1,174"
The Condemned Villainess Goes Back in Time and Aims to ...,"English, Paperback, Narayama Bakufu",(133),36% off,₹188
The Noah,"English, Paperback, Rahul Sen",(64),28% off,₹159
Samsara,"English, Paperback, Garg Saksham",(64),37% off,₹444
Dune,"English, Hardcover, Herbert Frank",(5),76% off,₹892
To Sleep in a Sea of Stars,"English, Paperback, Paolini Christopher",(678),66% off,₹244
The Time Machine,"English, Paperback, Wells Hg","(2,924)",38% off,₹979
Godzilla x Kong: The New Empire - The Official Movie No...,"English, Paperback, Keyes Greg",(226),32% off,₹150
Dune Messiah,"English, Paperback, Herbert Frank",(7),43% off,₹102
The Midnight Library: A GMA Book Club Pick,"English, Hardcover, Haig Matt",(90),39% off,₹499
The Picture of Dorian Gray,"English, Paperback, Wilde Oscar","(2,647)",50% off,₹340
Journey to the Centre of the Earth,"English, Paperback, Verne Jules","(3,080)",33% off,₹694
Manifesto 2050: Humans First,"Paperback, Anil Kumar Bhargava",(56),22% off,₹149
The Three-Body Problem,"English, Paperback, Liu Cixin",(96),20% off,₹197
Children of Ruin,"English, Paperback, Tchaikovsky Adrian",(5),7% off,"₹8,881"
The Invisible Man,"English, Paperback, Wells H G","(1,288)",4% off,₹156
The Nagaon Ke Rahasiye (Secret of the Nagas),"Hindi, Paperback, Tripathi Amish",(37),48% off,₹159
