Sr. No.,Player,Base Price,Winning Bid,Capped/Uncapped
1,Ishan Kishan,"2,00,00,000","11,25,00,000",Capped
2,Mohammad Shami,"2,00,00,000","10,00,00,000",Capped
3,Harshal Patel,"2,00,00,000","8,00,00,000",Capped
4,Abhinav Manohar,"30,00,000","3,20,00,000",Uncapped
5,Rahul Chahar,"1,00,00,000","3,20,00,000",Capped
6,Adam Zampa,"2,00,00,000","2,40,00,000",Capped
7,Simarjeet Singh,"30,00,000","1,50,00,000",Uncapped
8,Eshan Malinga,"30,00,000","1,20,00,000",Uncapped
9,Brydon Carse,"1,00,00,000","1,00,00,000",Capped
10,Jaydev Unadkat,"1,00,00,000","1,00,00,000",Capped
11,Kamindu Mendis,"75,00,000","75,00,000",Capped
12,Zeeshan Ansari,"30,00,000","40,00,000",Uncapped
13,Sachin Baby,"30,00,000","30,00,000",Uncapped
14,Aniket Verma,"30,00,000","30,00,000",Uncapped
15,Atharva Taide,"30,00,000","30,00,000",Uncapped
